OPEN,CLOSE,HIGH,LOW,VOLUME,Return,QPL,QPL+,QPL-,MA5,MA21,RSI
12977.75000000000000000,13089.50000000000000000,13222.50000000000000000,12914.75000000000000000,56508,,13033.54099943786604854,13014.31230450177281455,12941.29041334294925036,13089.50000000000000000,13089.50000000000000000,
13316.75000000000000000,12962.50000000000000000,13351.00000000000000000,12960.25000000000000000,58371,-0.00970243324802322,13373.99835135244575213,13354.26737153774774924,13279.33802946463947592,13026.00000000000000000,13026.00000000000000000,
13319.00000000000000000,13315.50000000000000000,13375.00000000000000000,13065.25000000000000000,56920,0.02723240115718428,13376.25802404214482522,13356.52371047825181449,13281.58170833270378353,13122.50000000000000000,13122.50000000000000000,
13716.75000000000000000,13309.50000000000000000,13751.00000000000000000,13305.00000000000000000,47462,-0.00045060268108599,13775.71794063218658266,13755.39429429405754490,13678.21427267607396061,13169.25000000000000000,13169.25000000000000000,
13619.25000000000000000,13717.00000000000000000,13812.50000000000000000,13588.00000000000000000,45203,0.03061722829557834,13677.79879074524978932,13657.61960687220744148,13580.98818839328669128,13278.79999999999927240,13278.79999999999927240,
13483.75000000000000000,13603.25000000000000000,13610.25000000000000000,13389.00000000000000000,50671,-0.00829262958372823,13541.71627987673673488,13521.73786178850605211,13445.86886100541414635,13381.54999999999927240,13332.87500000000000000,
13525.75000000000000000,13483.00000000000000000,13663.00000000000000000,13463.25000000000000000,47046,-0.00883979931266421,13583.89683675110973127,13563.85618867791890807,13487.75086654261394870,13485.64999999999963620,13354.32142857142935100,
13785.25000000000000000,13520.25000000000000000,13790.25000000000000000,13380.75000000000000000,46015,0.00276273826299778,13844.51242029634158826,13824.08727981607626134,13746.52182932603136578,13526.60000000000036380,13375.06250000000000000,
13872.75000000000000000,13784.50000000000000000,13946.00000000000000000,13771.75000000000000000,43789,0.01954475693866597,13932.38858045128472440,13911.83379416901880177,13833.77600752853322774,13621.60000000000036380,13420.55555555555474712,
13944.75000000000000000,13866.75000000000000000,13956.00000000000000000,13819.25000000000000000,44335,0.00596684682070436,14004.69810652163687337,13984.03664026515434671,13905.57373130659107119,13651.54999999999927240,13465.17499999999927240,
13964.50000000000000000,13943.75000000000000000,14063.00000000000000000,13818.25000000000000000,45277,0.00555285124488436,14024.53301124232530128,14003.84228207624801144,13925.26824581515575119,13719.64999999999963620,13508.68181818181801646,
13954.50000000000000000,13968.00000000000000000,13991.25000000000000000,13877.50000000000000000,44581,0.00173913043478269,14014.49002151033164409,13993.81410900733862945,13915.29633973486852483,13816.64999999999963620,13546.95833333333393966,
